task_id,status,start_time,end_time,error_message
5eab84a5-a9de-49d9-99b4-290da5180579,FAILED,2026-08-03T13:37:22.681117,2026-08-03T13:37:30.043049,"Command '['python', '01_scrape_products.py']' returned non-zero exit status 1."
650fbe20-20cd-4a3f-928b-8561a90a2d78,FAILED,2026-08-03T13:39:04.308772,2026-08-03T13:39:05.909376,"Command '['python', '01_scrape_products.py']' returned non-zero exit status 1."
cd9ac4db-6690-4816-aac9-414264c5f2f5,FAILED,2026-08-03T13:45:48.754729,2026-08-03T13:45:50.123112,"Command '['python', '01_scrape_products.py']' returned non-zero exit status 1."
d683f30f-4349-42d1-abb7-67c89b513fca,FAILED,2026-08-03T13:59:09.425899,2026-08-03T13:59:10.580844,DLL load failed while importing indexers: An Application Control policy has blocked this file.
bbf0e985-4bfd-47cc-ae7f-45f36ceb64a6,FAILED,2026-08-03T14:06:32.861896,2026-08-03T14:41:27.444692,"HTTPConnectionPool(host='localhost', port=61962): Max retries exceeded with url: /session/d01847a827603440abab5fad47c8d276/url (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=61962): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))"
1d21a683-12d4-4b5c-a95b-b202148ee096,FAILED,2026-08-03T17:01:41.600158,2026-08-03T17:05:16.998937,"invalid syntax (03_feature_engineering.py, line 40)"
355371e6-5935-43f1-a1fb-a9c6205c0069,FAILED,2026-08-03T17:02:25.251556,2026-08-03T17:05:50.385344,"invalid syntax (03_feature_engineering.py, line 40)"
37802179-08fd-4bab-a6c3-8848bfd16fb2,SUCCESS,2026-08-03T17:15:49.203426,2026-08-03T17:19:11.738464,
03374200-54b3-4238-9fc8-4ad2b7b9c0b7,FAILED,2026-08-03T17:22:17.482632,2026-08-03T17:23:28.515525,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
f26b0c2a-1724-48b7-8e70-c3c55259d932,SUCCESS,2026-08-03T17:26:29.696928,2026-08-03T17:36:36.102323,
8bbd39c8-aed4-4558-9720-f194b10f2fc7,SUCCESS,2026-08-04T09:22:11.661092,2026-08-04T09:35:36.409321,
